name,ring,quadrant,isNew,description
Cloudflare Pages,Assess,Platforms,FAŁSZ,"<p><strong><a href=""https://pages.cloudflare.com"">CloudFlare Pages</a></strong>usługa FAAS umożliwiająca hostowanie statycznych (i dynamicznych, bo jest możliwość definiowania workerów) stron www, w prosty i przyjemny sposób. Bez potrzeby konfigurowania hostingu etc"
Colima,Assess,Platforms,TRUE,"<p><strong><a href=""https://github.com/abiosoft/colima"">Colima</a></strong> staje się popularną otwartą alternatywą dla Docker for Desktop. Zapewnia środowisko uruchomieniowe kontenera Docker na maszynie wirtualnej Lima, konfiguruje interfejs wiersza polecenia platformy Docker w systemie macOS i obsługuje przekierowanie portów i montowanie woluminów. Colima używa <a href=""https://containerd.io/"">containerd</a> jako środowiska uruchomieniowego, które jest również środowiskiem wykonawczym w większości zarządzanych usług Kubernetes (w ten sposób poprawiono parzystość dev-prod). Dzięki Colima możesz łatwo używać i testować najnowsze funkcje containerd, takie jak leniwe ładowanie obrazów kontenerów. Dzięki dobrej wydajności obserwujemy Colima jako silny potencjał jako alternatywa typu open source dla Docker for Desktop.</p>"
tfsec,Adopt,Tools,FALSE,"<p>Dla naszych projektów wykorzystujących <a href=""/radar/tools/terraform"">Terraform</a>, <strong><a href=""https://github.com/liamg/tfsec"">tfsec</ a></strong> szybko stał się domyślnym narzędziem analizy statycznej do wykrywania potencjalnych zagrożeń bezpieczeństwa. Jest łatwy do zintegrowania z CI i ma rosnącą bibliotekę testów dla wszystkich głównych dostawców chmury i platform, takich jak Kubernetes. Biorąc pod uwagę łatwość użytkowania, uważamy, że tfsec może być dobrym dodatkiem do każdego projektu Terraform.</p>"
cert-manager,Trial,Tools,TRUE,"<p><strong><a href=""https://cert-manager.io/"">cert-manager</a></strong> to narzędzie do zarządzania certyfikatami X.509 w ramach <a href= „/radar/platforms/kubernetes"">Kubernetes</a>. Modeluje certyfikaty i wystawców jako najwyższej klasy typy zasobów i zapewnia certyfikaty jako usługę bezpieczną dla programistów i aplikacji pracujących w klastrze Kubernetes. Oczywisty wybór w przypadku korzystania z domyślnego kontrolera ruchu przychodzącego Kubernetes, jest on również zalecany dla innych użytkowników i zdecydowanie preferowany w stosunku do ręcznego zarządzania własnymi certyfikatami. Kilka naszych zespołów intensywnie korzysta z Menedżera certyfikatów, a także stwierdziliśmy, że jego użyteczność znacznie się poprawiła w ciągu ostatnich kilku miesięcy.</p>"
Cloud Carbon Footprint,Trial,Tools,TRUE,"<p><strong><a href=""https://www.cloudcarbonfootprint.org/"">Cloud Carbon Footprint</a></strong> (CCF) to narzędzie typu open source, które wykorzystuje interfejsy API chmury dostarczanie wizualizacji szacowanej emisji dwutlenku węgla na podstawie użycia w AWS, GCP i Azure. Dostawcy platformy Cloud zdają sobie sprawę, że ważne jest, aby pomóc swoim klientom zrozumieć wpływ korzystania z ich usług na emisję dwutlenku węgla, dlatego zaczęli sami tworzyć podobną funkcjonalność. Ponieważ CCF jest niezależny od chmury, pozwala użytkownikom przeglądać zużycie energii i emisje dwutlenku węgla dla wielu dostawców chmury w jednym miejscu, jednocześnie przekładając ślady węglowe na rzeczywisty wpływ, taki jak loty lub sadzenie drzew.</p>"
Conftest,Trial,Tools,TRUE,"<p><strong><a href=""https://www.conftest.dev/"">Conftest</a></strong> "
kube-score,Trial,Tools,TRUE,"<p><strong><a href=""https://kube-score.com"">kube-score</a></strong>W ostatnich wydaniach CCF zaczął uwzględniać zalecenia dotyczące optymalizacji Google Cloud i AWS, a także potencjalne oszczędności energii i CO2, a także obsługiwać więcej typów instancji w chmurze, takich jak instancje GPU. Biorąc pod uwagę przyczepność narzędzia i ciągłe dodawanie nowych funkcji, jesteśmy pewni, że przeniesiemy je do wersji próbnej.</p>”"
Lighthouse,Trial,Tools,TRUE,"<p><strong><a href=""https://developers.google.com/web/tools/lighthouse/"">Lighthouse</a></strong> to narzędzie napisane przez Google do oceny aplikacji internetowych i sieci strony, zbieranie wskaźników wydajności i spostrzeżeń na temat dobrych praktyk programistycznych. Od dawna opowiadamy się za <a href=""/radar/techniques/performance-testing-as-a-first-class-citizen"">testami wydajnościowymi jako obywatel pierwszej klasy</a> oraz dodatkami do Lighthouse, które wspomnieliśmy pięć lat temu z pewnością w tym pomogliśmy. Nasze myślenie o <a href=""/radar/techniques/architectural-fitness-function"">funkcjach sprawności architektonicznej</a> stworzyło silną motywację dla takich narzędzi, jak Lighthouse, które należy uruchamiać w potokach budowania. Wraz z wprowadzeniem <a href=""https://github.com/GoogleChrome/lighthouse-ci"">CI Lighthouse</a> uwzględnienie Lighthouse w potokach zarządzanych przez <a href=""https stało się łatwiejsze niż kiedykolwiek ://github.com/GoogleChrome/lighthouse-ci/blob/main/docs/getting-started.md#configure-your-ci-provider"">różne narzędzia</a>.</p>"
Podman,Trial,Tools,TRUE,"<p>Jako alternatywę dla <a href=""/radar/platforms/docker"">Dockera</a>, <strong><a href=""https://github.com/containers/podman"">Podman</a> a></strong> został zatwierdzony przez wiele naszych zespołów. Podman wprowadza bezdemonowy silnik do zarządzania i uruchamiania kontenerów, co jest ciekawym podejściem w porównaniu do tego, co robi Docker. Dodatkowo Podman może być łatwo uruchamiany jako zwykły użytkownik <a href=""/radar/platforms/rootless-containers"">bez konieczności posiadania uprawnień roota</a>, co zmniejsza powierzchnię ataku. Korzystając z obrazów <a href=""https://opencontainers.org/"">Open Container Initiative</a> (OCI) utworzonych przez <a href=""https://github.com/containers/buildah"">Buildah </a> lub obrazy Dockera, Podman można dostosować do większości przypadków użycia kontenerów. Oprócz pewnych problemów ze zgodnością z macOS, nasz zespół miał ogólnie dobre doświadczenia z Podmanem w dystrybucjach Linuksa.</p>"
Sourcegraph,Trial,Tools,TRUE,"<p><strong><a href=""https://about.sourcegraph.com"">Sourcegraph</a></strong>Tool dający podobny efekt do integracji gitlaba z elasticiem, pozwalający w szybki sposób przeszukiwać wiele repozyoriów pod kątem poszukiwanego kodu</p> "
Syft,Assess,Tools,TRUE,"<p>Tool do sprawdzania podatności przez statyczny skan image'ów dockerowych <a href=""https://github.com/anchore/syft""></p>"
CDKTF,Assess,Tools,TRUE,"<p>Tool do 'owijania' HCL'a w inne języki programowania <a href=""https://www.terraform.io/cdktf""></p>"
Infracost,Trial,Tools,FALSE,"<p>narzędzie wskazujące estymowany koszt infrastruktury stawianej przez terraform <a href=""https://www.infracost.io/""></p>"
jc,Assess,Tools,TRUE,"<p>narzędzie zmieniające output w jsona, do łatwiejszej manipulacji tekstem<a href=""https://github.com/kellyjonbrazil/jc""></p>"
Terraform Validator,Adopt,Tools,FALSE,"<p><a href=""https://cloud.google.com/docs/terraform/policy-validation""> wymuszanie odpowiednich polityk dotyczących gcp przed deploymentem</p>"
